mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax
E5928073,"$995,000","14 NEAPOLITAN DR
Toronto, Ontario M1P4B1","Above Grade
3",,"Total
2","Community Name
Bendale","Land Size
98.23 x 23.71 FT ; Irreg, See Survey Attached","Annual Property Taxes
$3,583.06"
E5928025,"$998,000","50 HISTORIC TERR
Toronto, Ontario M1V3C2","Above Grade
3","Below Grade
2","Total
5","Community Name
Milliken","Land Size
43.4 x 102.3 FT","Annual Property Taxes
$3,968.54"
C5928225,"$5,495,000","55 CASTLE FRANK RD
Toronto, Ontario M4W2Z5","Above Grade
8",,"Total
5","Community Name
Rosedale-Moore Park","Land Size
60 x 168.62 FT","Annual Property Taxes
$22,231.40"
C5928165,"$2,880,000","119 HORSHAM AVE
Toronto, Ontario M2N2A1","Above Grade
4","Below Grade
2","Total
6","Community Name
Willowdale West","Land Size
60.01 x 140.26 FT","Annual Property Taxes
$10,915"
C5928005,"$1,449,999","184 ROYWOOD DR
Toronto, Ontario M3A2E6","Above Grade
3","Below Grade
1","Total
3","Community Name
Parkwoods-Donalda","Land Size
56 x 123 FT","Annual Property Taxes
$5,112.34"
W5927921,"$1,149,000","1 RAVEN RD
Toronto, Ontario M6L2A5","Above Grade
2","Below Grade
1","Total
2","Community Name
Rustic","Land Size
35 x 124 FT","Annual Property Taxes
$3,576.74"
W5927919,"$1,589,000","12 KRIEGER CRES
Toronto, Ontario M6A1K5","Above Grade
3",,"Total
3","Community Name
Yorkdale-Glen Park","Land Size
60 x 100 FT","Annual Property Taxes
$5,175.54"
E5927943,"$1,385,000","57 WHITLEY CASTLE CRES
Toronto, Ontario M1V2P5","Above Grade
4","Below Grade
3","Total
4","Community Name
Agincourt North","Land Size
23.09 x 114.36 FT","Annual Property Taxes
$4,299.43"
E5927927,"$899,000","103 GATES AVE
Toronto, Ontario M4C1T2","Above Grade
3","Below Grade
1","Total
1","Community Name
East End-Danforth","Land Size
25 x 100 FT","Annual Property Taxes
$4,038.05"
E5927785,"$3,200,000","103 HILL CRES
Toronto, Ontario M1M1J7","Above Grade
3","Below Grade
2","Total
4","Community Name
Guildwood","Land Size
180 x 180 FT ; Irregular Lot","Annual Property Taxes
$9,788.33"
E5927713,"$995,000","31 WILEY AVE
Toronto, Ontario M4J3W3","Above Grade
2","Below Grade
1","Total
2","Community Name
Danforth","Land Size
23.03 x 90.62 FT","Annual Property Taxes
$3,968.54"
E5927577,"$949,900","2 LEYTON AVE
Toronto, Ontario M1L3T4","Above Grade
3","Below Grade
1","Total
2","Community Name
Oakridge","Land Size
27 x 122 FT","Annual Property Taxes
$2,729"
C5927941,"$1,999,000","397 CRAWFORD ST
Toronto, Ontario M6J2W1","Above Grade
3","Below Grade
1","Total
3","Community Name
Trinity-Bellwoods","Land Size
16.01 x 112 FT","Annual Property Taxes
$7,800"
C5927667,"$899,000","239 NORTHCLIFFE BLVD
Toronto, Ontario M6E3K8","Above Grade
3",,"Total
2","Community Name
Oakwood Village","Land Size
31.04 x 117.85 FT","Annual Property Taxes
$4,676.30"
C5927579,"$1,998,000","6 WARING CRT
Toronto, Ontario M2N4G7","Above Grade
4","Below Grade
1","Total
4","Community Name
Willowdale East","Land Size
50 x 120.58 FT","Annual Property Taxes
$8,556.37"
40379282,"$3,200,000","103 HILL Crescent
Toronto, Ontario M1M1J7","Above Grade
3","Below Grade
2","Total
5",,"Land Size
1/2 - 1.99 acres",
W5927377,"$998,800","17 WOODENHILL CRT
Toronto, Ontario M6M1K8","Above Grade
3",,"Total
2","Community Name
Keelesdale-Eglinton West","Land Size
26.5 x 119.85 FT","Annual Property Taxes
$3,481.85"
W5927341,"$999,000","50 REGENT ST
Toronto, Ontario M6N3N9","Above Grade
3","Below Grade
1","Total
3","Community Name
Keelesdale-Eglinton West","Land Size
34.58 x 85 FT","Annual Property Taxes
$3,210.22"
E5927419,"$1,199,000","162 VALDOR DR N
Toronto, Ontario M1V1R5","Above Grade
4","Below Grade
3","Total
4","Community Name
Agincourt North","Land Size
45 x 110 FT ; 50.53 Feet At Back","Annual Property Taxes
$4,322.43"
E5927353,"$1,200,000","28 ARAGON AVE
Toronto, Ontario M1T1X7","Above Grade
3",,"Total
3","Community Name
Tam O'Shanter-Sullivan","Land Size
52 x 174 FT ; As Per Geo Warehouse","Annual Property Taxes
$4,738.81"
E5927069,"$1,199,900","46 MCGRATH CRT
Toronto, Ontario M1C3B5","Above Grade
4",,"Total
3","Community Name
Centennial Scarborough","Land Size
40 x 132.5 FT","Annual Property Taxes
$4,164.40"
C5927391,"$2,600,000","3945 DUFFERIN ST
Toronto, Ontario M3H5R4","Above Grade
3","Below Grade
3","Total
2","Community Name
Bathurst Manor","Land Size
29.56 x 132.89 FT","Annual Property Taxes
$3,418.76"
C5927371,"$1,199,000","40 DALESIDE CRES
Toronto, Ontario M4A2H6","Above Grade
4",,"Total
2","Community Name
Victoria Village","Land Size
29.92 x 135 FT","Annual Property Taxes
$3,650"
C5927141,"$1,998,000","17 BASSWOOD RD
Toronto, Ontario M2N2N5","Above Grade
4",,"Total
4","Community Name
Willowdale West","Land Size
33.04 x 100.16 FT","Annual Property Taxes
$7,646.40"
W5926783,"$1,499,000","911 ROYAL YORK RD
Toronto, Ontario M8Y2V8","Above Grade
2","Below Grade
2","Total
2","Community Name
Stonegate-Queensway","Land Size
33.33 x 120 FT","Annual Property Taxes
$5,561.01"
W5926667,"$3,198,000","77 MATTICE AVE
Toronto, Ontario M9B1T5","Above Grade
4","Below Grade
2","Total
5","Community Name
Islington-City Centre West","Land Size
48 x 120 FT","Annual Property Taxes
$9,295.73"
W5926531,"$3,399,000","49 BRAECREST AVE
Toronto, Ontario M9P1Z6","Above Grade
4","Below Grade
2","Total
5","Community Name
Humber Heights","Land Size
50 x 156.58 FT","Annual Property Taxes
$12,461.72"
W5926533,"$2,769,000","84 GRENVIEW BLVD S
Toronto, Ontario M8Y3S5","Above Grade
4","Below Grade
2","Total
4","Community Name
Stonegate-Queensway","Land Size
38.79 x 103 FT ; **City Of Toronto","Annual Property Taxes
$9,548.52"
E5926839,"$1,299,000","12 FULTON AVE
Toronto, Ontario M4K1X5","Above Grade
4",,"Total
3","Community Name
Playter Estates-Danforth","Land Size
56 x 38 FT","Annual Property Taxes
$6,605.05"
E5926681,"$899,000","487 SCARBOROUGH RD
Toronto, Ontario M4E3N3","Above Grade
3",,"Total
2","Community Name
East End-Danforth","Land Size
13.5 x 100.25 FT","Annual Property Taxes
$3,850"
C5926957,"$1,188,000","604 OAKWOOD AVE
Toronto, Ontario M6E2X8","Above Grade
2",,"Total
1","Community Name
Oakwood Village","Land Size
25 x 93.87 FT","Annual Property Taxes
$3,759.35"
C5926973,"$1,569,000","18 MINHO BLVD
Toronto, Ontario M6G4B5","Above Grade
3","Below Grade
1","Total
3","Community Name
Wychwood","Land Size
23 x 75 FT","Annual Property Taxes
$5,876.97"
C5926949,"$2,999,000","43 RUSHOLME RD
Toronto, Ontario M6J3H3","Above Grade
4",,"Total
4","Community Name
Little Portugal","Land Size
30.15 x 95.24 FT","Annual Property Taxes
$7,734.86"
C5926911,"$3,488,000","11 CALDERON CRES
Toronto, Ontario M2R2E4","Above Grade
4","Below Grade
2","Total
5","Community Name
Newtonbrook West","Land Size
60.14 x 125.1 FT","Annual Property Taxes
$0"
C5926787,"$3,669,000","189 ARGYLE ST
Toronto, Ontario M6J1P5","Above Grade
4",,"Total
4","Community Name
Little Portugal","Land Size
17 x 100 FT","Annual Property Taxes
$8,828.11"
C5926775,"$899,000","320 ATLAS AVE
Toronto, Ontario M6C3P9","Above Grade
3","Below Grade
1","Total
2","Community Name
Oakwood Village","Land Size
25 x 105 FT","Annual Property Taxes
$4,300"
C5926719,"$2,499,000","36 KELWAY BLVD
Toronto, Ontario M5N1H1","Above Grade
3",,"Total
3","Community Name
Lawrence Park South","Land Size
29.99 x 119.5 FT","Annual Property Taxes
$8,234.09"
C5926607,"$1,598,000","43 NORTH HILLS TERR
Toronto, Ontario M3C1M5","Above Grade
4","Below Grade
2","Total
4","Community Name
Banbury-Don Mills","Land Size
60 x 105 FT","Annual Property Taxes
$8,884.98"
40379983,"$1,299,000","12 FULTON Avenue
Toronto, Ontario M4K1X5","Above Grade
4",,"Total
3",,"Land Size
under 1/2 acre",
W5926513,"$1,265,000","495 QUEBEC AVE
Toronto, Ontario M6P2V6","Above Grade
3","Below Grade
1","Total
2","Community Name
Junction Area","Land Size
16.33 x 100 FT","Annual Property Taxes
$3,936.94"
W5926441,"$1,499,000","26 BEAVERBROOK AVE
Toronto, Ontario M9B2M9","Above Grade
3","Below Grade
1","Total
2","Community Name
Princess-Rosethorn","Land Size
50 x 110 FT","Annual Property Taxes
$5,081"
E5926519,"$1,999,900","203 OAK PARK AVE
Toronto, Ontario M4C4N2","Above Grade
4","Below Grade
1","Total
5","Community Name
Woodbine-Lumsden","Land Size
27 x 100 FT","Annual Property Taxes
$3,507.23"
E5926419,"$799,900","23 THYRA AVE
Toronto, Ontario M4C5G6","Above Grade
2",,"Total
2","Community Name
Crescent Town","Land Size
16.75 x 123.75 FT","Annual Property Taxes
$3,115.43"
E5926405,"$999,999","37 KINGSTON RD
Toronto, Ontario M4L1S5","Above Grade
2",,"Total
2","Community Name
The Beaches","Land Size
16 x 113 FT","Annual Property Taxes
$3,728.41"
E5926407,"$1,099,000","55 WATERFIELD DR
Toronto, Ontario M1P3W9","Above Grade
3",,"Total
2","Community Name
Bendale","Land Size
60 x 107.75 FT","Annual Property Taxes
$4,019.09"
E5926397,"$1,399,000","12 BRINLOOR BLVD
Toronto, Ontario M1M1L2","Above Grade
3",,"Total
2","Community Name
Scarborough Village","Land Size
70.96 x 170.58 FT","Annual Property Taxes
$4,493.04"
W5926311,"$999,000","8 MARKBURN CRT
Toronto, Ontario M9C4Z1","Above Grade
3",,"Total
3","Community Name
Eringate-Centennial-West Deane","Land Size
21.47 x 85.74 FT","Annual Property Taxes
$3,488.27"
E5926339,"$1,000,000","15 RADNOR AVE
Toronto, Ontario M1P1G3","Above Grade
3","Below Grade
1","Total
3","Community Name
Dorset Park","Land Size
45 x 109 FT ; Irregular","Annual Property Taxes
$3,709.45"
C5926161,"$3,750,000","430 PALMERSTON BLVD
Toronto, Ontario M6G2N8","Above Grade
6","Below Grade
1","Total
5","Community Name
Palmerston-Little Italy","Land Size
37 x 128 FT","Annual Property Taxes
$13,194.77"
W5926127,"$1,267,000","53 TARRAGONA BLVD
Toronto, Ontario M6N5C2","Above Grade
3","Below Grade
1","Total
4","Community Name
Junction Area","Land Size
20.04 x 78.74 FT","Annual Property Taxes
$4,044.37"
W5926087,"$1,649,900","217 EVELYN AVE
Toronto, Ontario M6P2Z8","Above Grade
3","Below Grade
1","Total
3","Community Name
Junction Area","Land Size
35 x 120 FT","Annual Property Taxes
$5,548.38"
E5926101,"$2,499,000","19 BRAEBURN BLVD
Toronto, Ontario M1J2P9","Above Grade
4","Below Grade
1","Total
5","Community Name
Eglinton East","Land Size
100 x 193 FT","Annual Property Taxes
$7,760.14"
C5926073,"$5,580,000","157 BEECHWOOD AVE
Toronto, Ontario M2L1J9","Above Grade
4","Below Grade
2","Total
7","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
50 x 145 FT","Annual Property Taxes
$15,804.64"
C5926097,"$1,720,000","166 RUMSEY RD
Toronto, Ontario M4G1P5","Above Grade
2","Below Grade
1","Total
2","Community Name
Leaside","Land Size
25.5 x 115 FT ; Slightly Irregular At Rear As Per Survey","Annual Property Taxes
$5,990.72"
C5926059,"$4,680,000","46 ELGIN AVE
Toronto, Ontario M5R1G6","Above Grade
3",,"Total
6","Community Name
Annex","Land Size
23.37 x 138.25 FT","Annual Property Taxes
$18,831.60"
40378486,"$1,200,000","22 HUTTON Avenue
Toronto, Ontario M4C3L3","Above Grade
2","Below Grade
1","Total
2",,"Land Size
0.078 ac|under 1/2 acre",
W5925791,"$958,888","8 ROSEGLEN CRES
Toronto, Ontario M3N1G6","Above Grade
3",,"Total
2","Community Name
Glenfield-Jane Heights","Land Size
50.12 x 120.29 FT","Annual Property Taxes
$3,216.53"
E5925643,"$1,349,900","148 MONARCH PARK AVE
Toronto, Ontario M4J4R6","Above Grade
3",,"Total
2","Community Name
Danforth","Land Size
18 x 100 FT","Annual Property Taxes
$4,385.61"
C5925929,"$1,499,999","1156 OSSINGTON AVE
Toronto, Ontario M6G3W1","Above Grade
3","Below Grade
1","Total
3","Community Name
Wychwood","Land Size
27 x 123.58 FT","Annual Property Taxes
$3,987.50"
C5925765,"$3,195,000","30 OLD BRIDLE PATH
Toronto, Ontario M4T1A7","Above Grade
4",,"Total
5","Community Name
Rosedale-Moore Park","Land Size
35.99 x 113.17 FT","Annual Property Taxes
$12,605"
C5925699,"$3,499,000","367 MANOR RD E
Toronto, Ontario M4S1S7","Above Grade
4","Below Grade
1","Total
5","Community Name
Mount Pleasant East","Land Size
25 x 125 FT ; Rear Private Drive L Shape Lot","Annual Property Taxes
$6,521.55"
C5925675,"$1,599,999","23 BELVIDERE AVE
Toronto, Ontario M6C1P4","Above Grade
3",,"Total
3","Community Name
Oakwood Village","Land Size
54.26 x 107.78 FT ; Irregular","Annual Property Taxes
$5,238.72"
W5925419,"$999,900","28 TREEVIEW DR
Toronto, Ontario M8W4B9","Above Grade
5","Below Grade
2","Total
3","Community Name
Alderwood","Land Size
53.01 x 139.75 FT","Annual Property Taxes
$4,853.25"
W5925363,"$2,999,999","151 SHAVER AVE N
Toronto, Ontario M9B4N9","Above Grade
4","Below Grade
1","Total
4","Community Name
Islington-City Centre West","Land Size
40 x 128 FT ; 157.32Ft X 49.84Ft X 128.14Ft X 40.43Ft","Annual Property Taxes
$9,807.60"
W5925307,"$1,399,000","6 BURIN CRT
Toronto, Ontario M9C4Y3","Above Grade
4",,"Total
3","Community Name
Eringate-Centennial-West Deane","Land Size
33.96 x 138.47 FT","Annual Property Taxes
$5,358.79"
W5925309,"$979,900","20 RUTHMAR CRES
Toronto, Ontario M3N2C5","Above Grade
3",,"Total
2","Community Name
Black Creek","Land Size
23 x 131 FT ; Irregular Lot","Annual Property Taxes
$2,710.99"
W5925231,"$2,148,000","16 RENNIE TERR
Toronto, Ontario M6S3C6","Above Grade
3","Below Grade
1","Total
3","Community Name
High Park-Swansea","Land Size
35 x 113 FT","Annual Property Taxes
$7,393.62"
W5925237,"$1,500,000","276 LANOR AVE
Toronto, Ontario M8W2P9","Above Grade
3","Below Grade
1","Total
2","Community Name
Alderwood","Land Size
59 x 100 FT ; Premium 59 Foot Frontage Lot","Annual Property Taxes
$4,227.63"
W5925205,"$2,950,000","201 VAN DUSEN BLVD
Toronto, Ontario M8Z3H7","Above Grade
4","Below Grade
1","Total
6","Community Name
Islington-City Centre West","Land Size
48 x 118 FT","Annual Property Taxes
$9,458.40"
E5925543,"$899,900","94 SQUIRES AVE
Toronto, Ontario M4B2S1","Above Grade
4",,"Total
2","Community Name
O'Connor-Parkview","Land Size
40 x 100 FT","Annual Property Taxes
$4,511.51"
E5925297,"$1,049,900","26 BRIARBLUFF AVE
Toronto, Ontario M1E3H3","Above Grade
3",,"Total
2","Community Name
West Hill","Land Size
50.86 x 110.3 FT ; As Per Survey Attached","Annual Property Taxes
$3,532.50"
E5925251,"$1,300,000","1251 WARDEN AVE
Toronto, Ontario M1R2R4","Above Grade
3","Below Grade
3","Total
2","Community Name
Wexford-Maryvale","Land Size
40 x 125 FT","Annual Property Taxes
$3,256"
C5925475,"$899,000","149 WINONA DR
Toronto, Ontario M6G3T1","Above Grade
3",,"Total
2","Community Name
Wychwood","Land Size
28.5 x 140 FT","Annual Property Taxes
$6,319.33"
C5925279,"$1,290,000","42 MUIRHEAD RD
Toronto, Ontario M2J3W4","Above Grade
3",,"Total
3","Community Name
Pleasant View","Land Size
30.3 x 130.42 FT","Annual Property Taxes
$4,088.61"
C5925247,"$1,795,000","5 BOWMAN ST
Toronto, Ontario M4X1V1","Above Grade
2",,"Total
2","Community Name
Cabbagetown-South St. James Town","Land Size
16.5 x 66 FT","Annual Property Taxes
$6,944.94"
C5925201,"$2,189,000","28 RANLEIGH AVE
Toronto, Ontario M4N1W9","Above Grade
4","Below Grade
1","Total
3","Community Name
Lawrence Park North","Land Size
32 x 129.75 FT","Annual Property Taxes
$8,006.59"
H4156687,"$1,399,000","6 BURIN Court
Etobicoke, Ontario M9C4Y3","Above Grade
4",,"Total
3",,"Land Size
33.96 x 138.47|under 1/2 acre","Annual Property Taxes
$5,358.79"
W5925131,"$2,999,999",Address not available,"Above Grade
4","Below Grade
1","Total
3","Community Name
Islington-City Centre West","Land Size
100 x 200 FT","Annual Property Taxes
$7,800"
W5925121,"$2,849,000","30 HUMBERCREST BLVD
Toronto, Ontario M6S4K7","Above Grade
4","Below Grade
2","Total
4","Community Name
Lambton Baby Point","Land Size
52.5 x 155 FT ; As Per Survey","Annual Property Taxes
$10,281.55"
W5924631,"$1,549,900","252 ANNETTE ST
Toronto, Ontario M6P1R1","Above Grade
4",,"Total
2","Community Name
Junction Area","Land Size
36.75 x 99.77 FT","Annual Property Taxes
$5,890"
W5924661,"$1,699,000","160 WINDERMERE AVE
Toronto, Ontario M6S3J7","Above Grade
3","Below Grade
1","Total
2","Community Name
High Park-Swansea","Land Size
25 x 100 FT","Annual Property Taxes
$4,935.40"
E5925137,"$1,849,000","136 BINGHAM AVE
Toronto, Ontario M4E3R3","Above Grade
3","Below Grade
2","Total
3","Community Name
The Beaches","Land Size
25 x 100 FT","Annual Property Taxes
$6,698"
E5924919,"$2,299,000","298 LEE AVE
Toronto, Ontario M4E2P5","Above Grade
4","Below Grade
1","Total
4","Community Name
The Beaches","Land Size
18.9 x 102 FT","Annual Property Taxes
$7,614.80"
E5924817,"$1,799,000","110 LEYTON AVE
Toronto, Ontario M1L3T8","Above Grade
4",,"Total
5","Community Name
Oakridge","Land Size
21.06 x 100.79 FT","Annual Property Taxes
$4,632"
E5924797,"$700,000","77 GLENMORE RD
Toronto, Ontario M4L3M2","Above Grade
3",,"Total
2","Community Name
Woodbine Corridor","Land Size
23.62 x 100 FT ; Irregular","Annual Property Taxes
$4,543.59"
E5924695,"$799,000","130 LORD ROBERTS DR
Toronto, Ontario M1K3W8","Above Grade
3",,"Total
1","Community Name
Eglinton East","Land Size
47 x 107.6 FT","Annual Property Taxes
$3,317.65"
C5925067,"$1,188,000","448 DREWRY AVE
Toronto, Ontario M2R2K7","Above Grade
3","Below Grade
3","Total
4","Community Name
Newtonbrook West","Land Size
50.1 x 123.16 FT","Annual Property Taxes
$5,567.33"
C5925051,"$2,750,000","439 1/2 MANNING AVE
Toronto, Ontario M6G2V6","Above Grade
4",,"Total
4","Community Name
Palmerston-Little Italy","Land Size
21 x 126.33 FT","Annual Property Taxes
$7,747.64"
C5924779,"$2,539,000","69 SUSSEX AVE
Toronto, Ontario M5S1J8","Above Grade
6","Below Grade
3","Total
4","Community Name
University","Land Size
20.33 x 100 FT","Annual Property Taxes
$9,403.16"
W5924555,"$879,747","2166 EGLINTON AVE W
Toronto, Ontario M6E2K9","Above Grade
3","Below Grade
2","Total
2","Community Name
Briar Hill-Belgravia","Land Size
24.71 x 91.5 FT ; Deep Lot","Annual Property Taxes
$3,470"
W5924397,"$1,475,000","36 SAFFRON CRES
Toronto, Ontario M9C3T9","Above Grade
3","Below Grade
1","Total
4","Community Name
Eringate-Centennial-West Deane","Land Size
39 x 103 FT ; 104.32Ft X 24.05Ft X 32.71Ft X 102.18Ft","Annual Property Taxes
$4,316.11"
E5924489,"$1,075,000","19 AMIENS RD
Toronto, Ontario M1E3S5","Above Grade
3","Below Grade
2","Total
3","Community Name
West Hill","Land Size
50 x 148 FT","Annual Property Taxes
$2,736.27"
E5924497,"$999,000","37 MAJOR OAK TERR
Toronto, Ontario M1V3E4","Above Grade
3","Below Grade
1","Total
4","Community Name
Milliken","Land Size
25.01 x 124.31 FT","Annual Property Taxes
$3,873.75"
C5924595,"$3,495,000","168 RIDLEY BLVD
Toronto, Ontario M5M3M1","Above Grade
5",,"Total
5","Community Name
Bedford Park-Nortown","Land Size
50 x 150 FT","Annual Property Taxes
$12,292"
C5924279,"$2,699,000","60 SPRUCE ST
Toronto, Ontario M5A2H9","Above Grade
3","Below Grade
1","Total
2","Community Name
Cabbagetown-South St. James Town","Land Size
25 x 98 FT ; *T/W Ca6969; City Of Toronto","Annual Property Taxes
$8,676.44"
C5924315,"$1,448,000","195 MOORE PARK AVE
Toronto, Ontario M2M1N3","Above Grade
4","Below Grade
1","Total
2","Community Name
Newtonbrook West","Land Size
50.09 x 131.94 FT","Annual Property Taxes
$5,504.13"
C5924251,"$1,879,000","264 HAVELOCK ST
Toronto, Ontario M6H3B9","Above Grade
4",,"Total
3","Community Name
Dufferin Grove","Land Size
20.83 x 138 FT ; S/T & T/W Ca443994","Annual Property Taxes
$7,090.28"
C5924119,"$2,680,000","6 DUNLACE DR
Toronto, Ontario M2L2R9","Above Grade
4","Below Grade
1","Total
4","Community Name
St. Andrew-Windfields","Land Size
48.06 x 133.68 FT ; 48.06 Ft X 132.26X 133.68 Ft X 70.35 Ft","Annual Property Taxes
$8,279"
E5924127,"$899,000","64 HAVEN HILL SQ
Toronto, Ontario M1V1M5","Above Grade
4","Below Grade
1","Total
2","Community Name
Agincourt North","Land Size
40.08 x 102.65 FT","Annual Property Taxes
$4,227.63"
W5924099,"$2,138,000","1050 ROYAL YORK RD
Toronto, Ontario M8X2G7","Above Grade
3","Below Grade
1","Total
4","Community Name
Kingsway South","Land Size
45.06 x 120.16 FT","Annual Property Taxes
$6,761.69"
W5924003,"$2,150,000","147 WIMBLETON RD
Toronto, Ontario M9A3S8","Above Grade
3",,"Total
3","Community Name
Edenbridge-Humber Valley","Land Size
60 x 160 FT","Annual Property Taxes
$7,981.32"
E5924061,"$1,329,000","108 BIRCHCLIFF AVE
Toronto, Ontario M1N3C7","Above Grade
3",,"Total
2","Community Name
Birchcliffe-Cliffside","Land Size
40 x 163 FT","Annual Property Taxes
$4,966.99"
E5924015,"$949,000","55 MANORGLEN CRES
Toronto, Ontario M1S1W3","Above Grade
4",,"Total
2","Community Name
Agincourt South-Malvern West","Land Size
50 x 110 FT","Annual Property Taxes
$4,000.14"
W5923859,"$1,199,000","51 WEDGE CRT
Toronto, Ontario M3L2M5","Above Grade
3",,"Total
2","Community Name
Glenfield-Jane Heights","Land Size
34.12 x 98.83 FT ; Irreg As Per Survey","Annual Property Taxes
$3,349.12"
E5923823,"$1,299,000","128 ATLEE AVE W
Toronto, Ontario M1N4C8","Above Grade
3","Below Grade
2","Total
4","Community Name
Birchcliffe-Cliffside","Land Size
31.72 x 128 FT","Annual Property Taxes
$3,791.60"
E5923821,"$1,150,000","2 LADYSBRIDGE DR
Toronto, Ontario M1G3H6","Above Grade
3","Below Grade
1","Total
2","Community Name
Morningside","Land Size
50 x 125 FT","Annual Property Taxes
$3,052.24"
E5923817,"$2,249,000","266 GLEN MANOR DR W
Toronto, Ontario M4E2Y2","Above Grade
3","Below Grade
1","Total
2","Community Name
The Beaches","Land Size
42.67 x 101 FT","Annual Property Taxes
$9,358.93"
W5923739,"$1,550,000","40 HIBISCUS CRT
Toronto, Ontario M9M1S1","Above Grade
3","Below Grade
1","Total
2","Community Name
Humbermede","Land Size
65.1 x 125.9 FT ; Slightly Irregular (Depth 136.49)","Annual Property Taxes
$3,941.67"
W5923645,"$779,900","12 BLOEM AVE
Toronto, Ontario M6E1S1","Above Grade
2",,"Total
1","Community Name
Caledonia-Fairbank","Land Size
16 x 105.68 FT","Annual Property Taxes
$2,856.34"
E5923699,"$1,650,000","29B BEECHWOOD DR
Toronto, Ontario M4K3H7","Above Grade
3",,"Total
4","Community Name
Broadview North","Land Size
25 x 100 FT ; See The Survey","Annual Property Taxes
$6,597.38"
C5923731,"$1,749,000","683 OSSINGTON AVE
Toronto, Ontario M6G3T6","Above Grade
4","Below Grade
1","Total
4","Community Name
Palmerston-Little Italy","Land Size
19 x 125 FT ; As Further Set Out Plan Of Survey","Annual Property Taxes
$6,319.33"
W5923507,"$1,368,000","7 ATWOOD PL
Toronto, Ontario M9V1L1","Above Grade
3","Below Grade
1","Total
2","Community Name
Thistletown-Beaumonde Heights","Land Size
39.37 x 103.95 FT ; Pie Shaped - 85' Back","Annual Property Taxes
$3,500.91"
W5923469,"$1,440,000","42 JOYCE PKWY
Toronto, Ontario M6B2S9","Above Grade
3","Below Grade
1","Total
2","Community Name
Yorkdale-Glen Park","Land Size
47.8 x 176.3 FT ; 72.88 (Rear) See Aerial Attached","Annual Property Taxes
$5,434"
,,,,,,,,
E5923445,"$999,000","43 CHARLES TUPPER DR
Toronto, Ontario M1C2A8","Above Grade
3","Below Grade
1","Total
2","Community Name
Centennial Scarborough","Land Size
50 x 115 FT","Annual Property Taxes
$3,987"
W5923369,"$1,499,000","534 GLADSTONE AVE
Toronto, Ontario M6H3J2","Above Grade
2","Below Grade
1","Total
3","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
17.32 x 138 FT","Annual Property Taxes
$4,859.56"
W5923397,"$798,000","33 MORLAND RD
Toronto, Ontario M6S2M7","Above Grade
2","Below Grade
1","Total
1","Community Name
Runnymede-Bloor West Village","Land Size
22.5 x 110 FT","Annual Property Taxes
$4,360.34"
W5923319,"$1,500,000","25 METHUEN AVE
Toronto, Ontario M6S1Z7","Above Grade
3",,"Total
1","Community Name
Lambton Baby Point","Land Size
25 x 100 FT","Annual Property Taxes
$5,422"
E5923377,"$1,549,000","34 PRINCEWAY DR
Toronto, Ontario M1R2W1","Above Grade
3","Below Grade
4","Total
6","Community Name
Wexford-Maryvale","Land Size
45 x 112 FT","Annual Property Taxes
$4,208.68"
E5923307,"$1,438,900","1 MAC FROST WAY
Toronto, Ontario M1X2A7","Above Grade
4","Below Grade
1","Total
4","Community Name
Rouge E11","Land Size
46 x 67 FT","Annual Property Taxes
$4,669.98"
E5923195,"$1,099,000","186 BELLAMY RD N
Toronto, Ontario M1J2L5","Above Grade
3","Below Grade
1","Total
4","Community Name
Eglinton East","Land Size
35 x 131 FT","Annual Property Taxes
$3,374.52"
E5922985,"$1,849,000","18 WYNNVIEW CRT
Toronto, Ontario M1N3K3","Above Grade
2","Below Grade
1","Total
2","Community Name
Birchcliffe-Cliffside","Land Size
57.12 x 140.81 FT","Annual Property Taxes
$4,992.27"
C5923033,"$4,995,000","35 YORK RD
Toronto, Ontario M2L1H7","Above Grade
4","Below Grade
1","Total
6","Community Name
St. Andrew-Windfields","Land Size
50 x 130 FT","Annual Property Taxes
$17,567.74"
W5923225,"$1,459,900","10 MAYPOLE ST
Toronto, Ontario M9B1E8","Above Grade
3","Below Grade
1","Total
3","Community Name
Islington-City Centre West","Land Size
50 x 100 FT","Annual Property Taxes
$4,764.77"
W5922833,"$2,299,000","9 ALHAMBRA AVE
Toronto, Ontario M6R2S4","Above Grade
4","Below Grade
1","Total
4","Community Name
High Park-Swansea","Land Size
27 x 124 FT","Annual Property Taxes
$8,038.19"
W5922723,"$1,275,000","9 HESLOP DR
Toronto, Ontario M8W4R2","Above Grade
2",,"Total
1","Community Name
Alderwood","Land Size
41.07 x 122.43 FT ; Irregular As Per Survey","Annual Property Taxes
$3,873.76"
E5922855,"$1,399,900","24 DEEKSHILL DR
Toronto, Ontario M1E3R7","Above Grade
4","Below Grade
2","Total
4","Community Name
West Hill","Land Size
55 x 108 FT","Annual Property Taxes
$3,614.66"
E5922649,"$799,900","17 ROSEHEATH AVE
Toronto, Ontario M4C3P3","Above Grade
2","Below Grade
1","Total
3","Community Name
Woodbine Corridor","Land Size
18.34 x 110 FT","Annual Property Taxes
$4,417.21"
